,HUN,JPN,KOR
ABW,0.0,24.0,0.0
AGO,0.0,0.0,29.0
ALB,0.0,0.0,135.0
AND,2.0,0.0,0.0
ARE,0.0,0.0,1758.0
ARG,0.0,1870.0,0.0
ARM,0.0,0.0,21.0
AUT,4558.0,0.0,18925.0
AZE,0.0,0.0,303.0
BDI,0.0,0.0,97.0
BEN,0.0,0.0,15.0
BFA,0.0,0.0,272.0
BGD,0.0,0.0,1.0
BGR,0.0,0.0,618.0
BHR,0.0,0.0,9.0
BIH,0.0,0.0,87.0
BLR,0.0,0.0,964.0
BMU,0.0,6.0,0.0
BOL,0.0,721.0,0.0
BRB,0.0,6.0,0.0
BRN,0.0,0.0,14.0
BWA,0.0,0.0,209.0
CHL,0.0,291.0,0.0
CIV,0.0,0.0,109.0
CMR,0.0,0.0,4.0
COG,0.0,0.0,18.0
COL,0.0,1815.0,0.0
CPV,2.0,0.0,0.0
CRI,0.0,427.0,0.0
CYP,0.0,0.0,209.0
DNK,0.0,0.0,19936.0
DOM,0.0,520.0,0.0
DZA,314.0,0.0,0.0
ECU,0.0,433.0,0.0
EGY,0.0,0.0,1569.0
EST,0.0,0.0,252.0
ETH,0.0,0.0,288.0
FJI,0.0,39.0,0.0
GEO,0.0,0.0,37.0
GHA,0.0,0.0,79.0
GIN,2.0,0.0,0.0
GRC,0.0,0.0,23750.0
GRD,0.0,17.0,0.0
GTM,0.0,1069.0,0.0
GUY,0.0,308.0,0.0
HND,0.0,151.0,0.0
HRV,511.0,0.0,0.0
IDN,0.0,0.0,22521.0
IRL,0.0,0.0,3011.0
IRN,0.0,0.0,179.0
ISL,0.0,0.0,1048.0
ISR,0.0,0.0,17636.0
JAM,0.0,25.0,0.0
JOR,0.0,0.0,524.0
KAZ,0.0,0.0,1097.0
KEN,0.0,0.0,2367.0
KGZ,0.0,0.0,9.0
KHM,0.0,0.0,316.0
KWT,0.0,0.0,50.0
LAO,0.0,0.0,734.0
LBN,0.0,0.0,984.0
LCA,0.0,7.0,0.0
LKA,0.0,0.0,4938.0
LSO,0.0,0.0,44.0
LTU,0.0,0.0,475.0
LUX,0.0,0.0,487.0
LVA,0.0,0.0,284.0
MAR,473.0,0.0,0.0
MDA,0.0,0.0,141.0
MDG,0.0,0.0,107.0
MDV,0.0,0.0,41.0
MEX,0.0,5573.0,0.0
MKD,0.0,0.0,82.0
MLI,28.0,0.0,0.0
MLT,0.0,0.0,115.0
MNG,0.0,0.0,101.0
MOZ,0.0,0.0,34.0
MUS,0.0,0.0,189.0
MWI,0.0,0.0,498.0
MYS,0.0,0.0,18.0
NAM,0.0,0.0,195.0
NER,0.0,0.0,97.0
NGA,0.0,0.0,7109.0
NIC,0.0,344.0,0.0
NPL,0.0,0.0,136.0
NZL,0.0,4603.0,0.0
OMN,0.0,0.0,270.0
PAK,0.0,0.0,5007.0
PAL,0.0,0.0,12.0
PAN,0.0,82.0,0.0
PER,0.0,1641.0,0.0
PHL,0.0,0.0,25103.0
PLW,0.0,1.0,0.0
PRT,0.0,0.0,21412.0
PRY,0.0,231.0,0.0
PYF,0.0,135.0,0.0
QAT,0.0,0.0,72.0
RWA,0.0,0.0,32.0
SAU,0.0,0.0,3581.0
SDN,0.0,0.0,3.0
SEN,584.0,0.0,0.0
SLB,0.0,1.0,0.0
SLV,0.0,86.0,0.0
SVN,442.0,0.0,0.0
SYC,0.0,0.0,19.0
TGO,0.0,0.0,119.0
TJK,0.0,0.0,25.0
TTO,0.0,167.0,0.0
TUN,84.0,0.0,0.0
TZA,0.0,0.0,872.0
UGA,0.0,0.0,3834.0
UKR,0.0,0.0,563.0
URY,0.0,123.0,0.0
UZB,0.0,0.0,320.0
YEM,0.0,0.0,199.0
ZAF,0.0,0.0,110.0
ZMB,0.0,0.0,100.0
ZWE,0.0,0.0,97.0
MMR,0.0,0.0,999.0
SWZ,0.0,0.0,6.0
BRA,0.0,0.0,6700.0
Virtual_Supply,0.0,137784.0,205170.0
